day,characterId,characterName,mode,dialogID,text,triggerOrder,windowspicture,eventId,playerpicture,soundId
0,player,Me,random,0_ra_1,(When will this class ever end?),0,,1,,
0,player,Me,random,0_ra_2,"(A lost bee is bumping against the windowpane, and some students are distracted by it.)",0,,2,,
0,player,Me,random,0_ra_3,(A bird flashes through the shade of the trees outside. The sun is beginning to set.),0,,3,,
0,player,Me,random,0_ra_4,"(What if gravity was reversed? We would be standing on the ceiling, having class while sitting on the rafters.)",0,,4,,
0,player,Me,random,0_ra_5,(Outside the window),0,,5,,
0,player,Me,random,0_ra_5,"(The summer light is so dense it almost seems solid. The classroom is still cool, hiding behind the walls, but everything exposed to the sun is so dazzling you have to close your eyes.)",1,,5,,
0,player,Me,random,0_ra_6,"(They say summer is the best season, and childhood is the best time of life.)",0,,6,,
0,player,Me,random,0_ra_6,"(Yes, I agree completely. I can already see myself as a frail old person in the winter of my life, lost in thought, wishing a million times I could come back to this very moment.)",1,,6,,
0,player,Me,random,0_ra_6,"(But right now, on this day when the sun is at its most fierce, what should we do, so as not to have wasted our time?)",2,,6,,
0,player,Me,random,0_ra_7,"(The Tyndall effect appears in the gap of the curtains. Dust motes, usually invisible, dance in the column of light.)",0,,7,,
0,player,Me,random,0_ra_8,(The teacher's voice is gradually fading.),0,,8,,
1,player,Me,random,1_ra_9,"(Minna is the face of the front desk, always dressed with perfect elegance.)",0,,9,,
1,player,Me,random,1_ra_9,"(Today, while Julian was talking her ear off, Minna just kept a polite smile. Her eyes were actually on the water cooler at the end of the hallway.)",1,,9,,
1,player,Me,random,1_ra_10,"(If Julian was really as successful abroad as he claims, why would he come back to our second-tier city to teach middle school English?)",0,,10,,
1,player,Me,random,1_ra_11,"(*Beyond English, Beyond Yourself.*)",0,,11,,
1,player,Me,random,1_ra_11,"(Transcend English, transcend yourself.)",1,,11,,
1,player,Me,random,1_ra_11,"(But when we truly transcend English, what will we use to express our emotions?)",2,,11,,
1,player,Me,random,1_ra_11,"(And when we truly transcend ourselves, what do we become? Something other than ourselves?)",3,,11,,
0,player,Me,random,0_ra_12,"(I wish Y-City had white nights. Here, people have to go home by 8 PM, be in bed by 10 PM, and by 11 PM the streets are empty except for lonely wandering souls.)",0,,12,,
1,player,Me,random,1_ra_13,"(Yuanyuan is still memorizing vocabulary, completely absorbed.)",0,,13,,
1,player,Me,random,1_ra_13,"(Actually, vocabulary might not even be that important. When you read, you can just substitute words with their first letter.)",1,,13,,
1,player,Me,random,1_ra_13,"(Mr. J teaches in Y-City, and Ms. Y teaches in J-City. Most nouns in the world are irrelevant. You could replace them with pictures.)",2,,13,,
1,player,Me,random,1_ra_13,"(Adjectives and adverbs can play a key role, but most of the time, you can do without them. The () Mr. J teaches () in the () Y-City. No one would care.)",3,,13,,
